Section Modelling,,,,,,필수변수: 무조건 받아야 하는 값,,,,
Radius of Conductor,4.00000 ,,,,,참조변수: 필수변수를 기반으로 가이드 범위를 제시해줄 값/없으면 임의로 대입가능한 값,,물성치,,
Radius of Insulation,11.30000 ,,,,,수치 변수,,탄성계수,포아송비,
Radius of Core,15.30000 ,,,,RoC,필수 변수,,필수 변수,필수 변수,
Centre of Core,17.66692 ,,,,CoC,2sqrt(3)/3,,,,
Inner Radius of Inner Sheath,32.96692 ,,,,IRIS,RoC+CoC,,,,
Thickness of Inner Sheath,4.50000 ,,,,TIS,필수 변수,,필수 변수,필수 변수,
Outer Radius of Inner Sheath,37.46692 ,,,,ORIS,IRIS+TIS,,,,
Number of Inner Armour,55.00000 ,Ref,61.97,,NoIA,[PI/ASIN(RoIA/CoIA)],참조변수,필수 변수,필수 변수,
Radius of Inner Armour,2.00000 ,,,,RoIA,필수 변수,,,,
Centre of Inner Armour,39.46692 ,,,,CoIA,RoIA+ORIS,,,,
Rotation Angle of Inner Armour,6.54545 ,,,,RAoIA,360/NoIA,,,,
Inner Radius of Bedding,41.46692 ,,,,IRB,ColA+RoIA,,필수 변수,필수 변수,
Thickness of Bedding,0.60000 ,,,,TB,필수 변수,,,,
Outer Radius of Bedding,42.06692 ,,,,ORB,IRB+TB,,,,
Number of Outer Armour,63.00000 ,Ref,69.20,,NoOA,[PI/ASIN(RoOA/CoOA)],참조변수,필수 변수,필수 변수,
Radius of Outer Armour,2.00000 ,,,,RoOA,필수 변수,,,,
Centre of Outer Armour,44.06692 ,,,,CoOA,ORB+RoOA,,,,
Rotation Angle of Outer Armour,5.71429 ,,,,RAoOA,360/NoOA,,,,
Inner Radius of Outer Sheath,46.06692 ,,,,IROS,RoOA+CoOA,,필수 변수,필수 변수,
Thickness of Outer Sheath,4.50000 ,,,,TOS,필수 변수,,,,
Outer Radius of Outer Sheath,50.56692 ,,,,OROS,IROS+TOS,,,,
,,,,,,,,,,
Helix Modelling,,,,,,회전(나선) 변수,,,,
Length,234.20000 ,237.4837188,237.4837188,,,"Pitch(CP, IAP, OAP)",,C.Length,IA.Length,OA.Length
Helix Angle of Core,9.00000 ,Ref,Core기준 역산치,,Core main,2*PI()*CoA/ATAN(HAC*PI()/180),,CP/3,,
Dist/Rotation of Core,702.60000 ,712.4511565,,,,,,참조변수1,,
Helix Angle of Inner Armour,(20.10000),,,,Inner Armour main,2*PI()*CoIA/ATAN(HAC*PI()/180),,C.Length*NoIA/19,,
Dist/Rotation of Inner Armour,677.94737 ,-734.9731827,687.4528703,,,,,,참조변수2,
Helix Angle of Outer Armour,19.60000 ,,,,Outher Amour main,2*PI()*CoOA/ATAN(HAC*PI()/180),,C.Length*NoOA/19,,
Dist/Rotation of Outer Armour,776.55789 ,840.0354959,787.4460151,,,,,,,참조변수3